title,image_180x100,desktop_categories_ids,desktop_categories
Frankie Dettori,//d37q0bzpeg751b.cloudfront.net/assets/GB/games/sc_fdt_180x100.jpg,"39,3,79","Popular Games,Slots,All Games"
Frankie Dettori,//d37q0bzpeg751b.cloudfront.net/assets/GB/games/sc_fdt_180x100.jpg,"39,3,79","Popular Games,Slots,All Games"
Desert Treasure Desktop,//d37q0bzpeg751b.cloudfront.net/assets/GB/games/sc_dt_180x100.jpg,"3,79","Slots,All Games"
Vacation Station,//d37q0bzpeg751b.cloudfront.net/assets/GB/games/sc_er_180x100.jpg,"3,79","Slots,All Games"
Vacation Station,//d37q0bzpeg751b.cloudfront.net/assets/GB/games/sc_er_180x100.jpg,"3,79","Slots,All Games"
Hulk 25 Line,//d37q0bzpeg751b.cloudfront.net/assets/GB/games/Hulk_180x100.jpg,"39,3,4,79","Popular Games,Slots,Jackpots,All Games"
Jackpot Darts,//d37q0bzpeg751b.cloudfront.net/assets/GB/games/sc_drts_180x100.jpg,"3,4,79","Slots,Jackpots,All Games"
Genie Hi-Lo,//d37q0bzpeg751b.cloudfront.net/assets/GB/games/sc_ghl_180x100.jpg,79,All Games
Gladiator,//d37q0bzpeg751b.cloudfront.net/assets/GB/games/sc_glr_180x100.jpg,"39,3,79","Popular Games,Slots,All Games"
Mr.Cashback,//d37q0bzpeg751b.cloudfront.net/assets/GB/games/sc-mcb-180x100.jpg,"3,79","Slots,All Games"
Great Blue,//d37q0bzpeg751b.cloudfront.net/assets/GB/games/sc-bib-180x100.jpg,"39,3,79","Popular Games,Slots,All Games"
Wild Games,//d37q0bzpeg751b.cloudfront.net/assets/GB/games/SC_WILDGAMES_180x100.jpg,"3,79","Slots,All Games"
Kong: Eighth Wonder of the World,//d37q0bzpeg751b.cloudfront.net/assets/GB/games/SC_Kong_180x100.jpg,"3,79","Slots,All Games"
Iron Man 2 - 25 Line,//d37q0bzpeg751b.cloudfront.net/assets/GB/games/Ironman2_180x100.jpg,"3,4,79","Slots,Jackpots,All Games"
Iron Man,//d37q0bzpeg751b.cloudfront.net/assets/GB/games/IronMan_180x100.jpg,"3,4,79","Slots,Jackpots,All Games"
UK Blackjack,//d37q0bzpeg751b.cloudfront.net/assets/GB/games/sc_bjuk_180x100_v2.jpg,"2,79","Blackjack,All Games"
21 Duel Blackjack,//d37q0bzpeg751b.cloudfront.net/assets/GB/games/sc_bj21d_180x100_v2.jpg,"2,79","Blackjack,All Games"
Fantastic Four,//d37q0bzpeg751b.cloudfront.net/assets/GB/games/FantasticFour_super_180x100.jpg,"3,4,79","Slots,Jackpots,All Games"
The Mummy,//d37q0bzpeg751b.cloudfront.net/assets/GB/games/SC_GAME_MUMMY.jpg,"3,79","Slots,All Games"
Desert Treasure II,//d37q0bzpeg751b.cloudfront.net/assets/GB/games/sc-dt2-180x100.jpg,"3,79","Slots,All Games"
X Men,//d37q0bzpeg751b.cloudfront.net/assets/GB/games/Xmen_180x100.jpg,"3,4,79","Slots,Jackpots,All Games"
Daredevil ,//d37q0bzpeg751b.cloudfront.net/assets/GB/games/Daredevil_180x100.jpg,"3,4,79","Slots,Jackpots,All Games"
Rocky,//d37q0bzpeg751b.cloudfront.net/assets/GB/games/sc_rky_180x100.jpg,"3,79","Slots,All Games"
Hulk 50 Line,//d37q0bzpeg751b.cloudfront.net/assets/GB/games/Hulk50_180x100.jpg,"3,4,79","Slots,Jackpots,All Games"
Football Fans,//d37q0bzpeg751b.cloudfront.net/assets/GB/games/SC_GAME_FOOTBALL_FANS.jpg,"3,79","Slots,All Games"
Hot Gems,//d37q0bzpeg751b.cloudfront.net/assets/GB/games/SC_GAME_HOT_GEMS.jpg,"3,79","Slots,All Games"
Wings of Gold,//d37q0bzpeg751b.cloudfront.net/assets/GB/games/SC_GAME_WINGS_OF_GOLD.jpg,"3,79","Slots,All Games"
Goddess of Life,//d37q0bzpeg751b.cloudfront.net/assets/GB/games/SC_GAME_GODDESS_OF_LIFE.jpg,"3,79","Slots,All Games"
Vikingmania,//d37q0bzpeg751b.cloudfront.net/assets/GB/games/SC_GAME_VIKING_MANIA.jpg,"3,79","Slots,All Games"
Elektra,//d37q0bzpeg751b.cloudfront.net/assets/GB/games/Elektra_180x100.jpg,"3,4,79","Slots,Jackpots,All Games"
Fantastic Four 50 Line,//d37q0bzpeg751b.cloudfront.net/assets/GB/games/FantasticFour50_super_180x100.jpg,"39,3,4,79","Popular Games,Slots,Jackpots,All Games"
Iron Man 2 50 Line,//d37q0bzpeg751b.cloudfront.net/assets/GB/games/IronMan250_180x100.jpg,"3,4,79","Slots,Jackpots,All Games"
Wild Spirit,//d37q0bzpeg751b.cloudfront.net/assets/GB/games/SC_WILDSPIRIT_180x100.jpg,"3,79","Slots,All Games"
